awsamazoncom,applecom,askcom,chinacom,cnncom,coccoccom,ettodaynet,hao123com,instagramcom,microsoftcom,paypalcom,popadsnet,quoracom,theguardiancom,tianyacn,twittercom,whatsappcom,xnxxcom,xvideoscom,yandexru,youtubecom
199.737576,37.5028992,16.1757792,56.0698056,147.047688,56.1382056,95.1625944,61.2889992,35.1565056,23.3732376,22.3658424,16.211484,45.77328,95.4210096,10.18465056,53.6691024,36.9046728,37.0804608,52.2368064,36.2007,28.03716
210.458592,33.8804352,12.83089608,56.2012704,154.233792,51.0012288,86.5898856,61.8128064,35.7220368,27.7723152,24.933168,14.9395176,43.8147144,108.7762464,12.82536936,49.5552528,45.0846288,40.8640752,52.8234048,38.9836224,27.2825712
189.76212,44.8340112,11.90935656,62.2182816,130.4994024,58.3270056,90.1118016,65.921868,30.0540024,24.150672,29.5771176,13.7433384,43.5620448,48.7266552,13.17887424,48.051684,39.5699472,36.4146552,50.988096,33.1474608,30.9478536
181.443312,38.2236984,14.982336,77.6781864,141.349968,53.5914,78.802956,58.387608,29.279988,23.1990912,23.8001904,18.9355824,46.5866928,100.5393816,13.11981768,50.7926088,40.2813072,36.1160208,52.3816776,35.0253144,29.7523584
197.972856,35.1125928,13.9421088,61.202268,141.612624,55.1956536,72.7559856,45.4431816,31.9570272,23.9951304,25.5567024,13.58240688,40.4482032,107.6613264,13.45062744,42.6580704,38.5641936,39.5900568,51.582492,32.0322672,30.3767136
194.763528,39.6568152,10.41398208,67.7644272,146.742624,54.8364168,85.526676,72.5288976,33.9560856,21.8313648,23.0204304,15.1778232,44.8905096,108.16092,11.56232232,48.3442992,41.3783064,33.3445896,50.5114848,34.9357104,28.7497512
199.409256,41.5554624,11.3961924,75.9126456,140.830128,63.8608392,92.268864,62.7657552,32.9091552,23.749848,24.9690096,17.3504808,48.134448,99.6705648,10.4803164,48.1270608,42.9088248,36.0640368,54.0596664,35.1395424,30.0471624
189.920808,35.416152,12.87661464,71.4695184,143.525088,60.0967872,87.7732056,60.9836616,32.6690712,24.7027968,25.6346784,13.8165264,42.9790032,108.1368432,9.0974736,47.8169352,39.1982616,42.1954128,50.7865896,32.1809688,25.9356384
197.836056,35.3206656,17.3801664,63.9747936,144.280224,59.6171664,92.2664016,62.0994024,29.3958576,24.5438352,26.7955632,16.3693512,48.9324024,103.6440576,13.38955992,51.0755112,39.6751464,40.3766568,49.9683888,36.0089064,37.9260216
193.712904,35.1934416,13.20518088,71.711244,132.3981864,49.8589488,94.0119696,60.8666976,28.872324,23.3813088,24.4709208,13.37406048,46.1100816,106.3915488,13.8805488,50.3304984,35.9953632,35.242416,52.3544544,31.8817872,28.9052928
